@relation 'Costa De Oro Imports - DataSet-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7'

@attribute venta_total numeric
@attribute anno numeric
@attribute mes numeric
@attribute cantidad_productos numeric
@attribute total_unidades numeric
@attribute precio_promedio numeric

@data
54740,2024,1,1,2,23000
176120,2024,1,3,5,29333.3333
540260,2024,1,2,4,113500
371280,2024,1,1,1,312000
29750,2024,1,1,1,25000
78540,2024,1,2,2,33000
322490,2024,1,2,3,121500
65450,2024,1,1,2,27500
268940,2024,1,2,4,56500
4760,2024,1,1,1,4000
11900,2024,1,1,2,5000
185640,2024,1,1,2,78000
24514,2024,1,2,3,8400
65450,2024,1,2,2,27500
58310,2024,1,1,1,49000
133280,2024,1,1,1,112000
41650,2024,1,1,1,35000
136850,2024,1,1,1,115000
220150,2024,1,1,1,185000
27370,2024,1,1,1,23000
378420,2024,1,1,2,159000
70210,2024,1,3,5,14500
94010,2024,1,2,3,25500
78540,2024,1,1,2,33000
455770,2024,1,2,3,152500
302260,2024,1,2,4,63500
332010,2024,1,2,3,123500
371280,2024,1,1,1,312000
565250,2024,1,2,3,124000
290360,2024,1,2,4,61000
1044225,2024,1,2,3,292500
6545,2024,1,1,1,5500
122570,2024,1,2,4,25750
71995,2024,1,2,2,30250
277270,2024,1,4,6,49250
104720,2024,1,3,4,22333.3333
471240,2024,1,3,4,99666.6667
445060,2024,1,2,4,93500
15470,2024,1,1,1,13000
220150,2024,1,1,1,185000
22848,2024,1,1,1,19200
61880,2024,1,1,1,52000
29750,2024,1,1,1,25000
105910,2024,1,2,3,31000
409360,2024,1,3,4,65000
177310,2024,1,1,1,149000
575960,2024,1,5,8,53700
280245,2024,1,2,3,60250
63070,2024,1,2,2,26500
14280,2024,1,1,2,6000
440300,2024,1,1,2,185000
111741,2024,2,2,3,33450
39270,2024,2,1,1,33000
8330,2024,2,1,2,3500
32725,2024,2,1,1,27500
85680,2024,2,1,1,72000
371280,2024,2,1,1,312000
39270,2024,2,1,1,33000
4165,2024,2,1,1,3500
142205,2024,2,2,2,59750
110670,2024,2,2,3,29000
387940,2024,2,1,2,163000
473382,2024,2,2,4,99450
57120,2024,2,1,1,48000
234430,2024,2,2,3,62500
46410,2024,2,1,1,39000
39270,2024,2,1,1,33000
45696,2024,2,1,2,19200
48552,2024,2,1,1,40800
10710,2024,2,1,2,4500
9044,2024,2,1,2,3800
46410,2024,2,1,1,39000
30940,2024,2,1,2,13000
9520,2024,2,1,2,4000
59500,2024,2,1,2,25000
768740,2024,2,4,6,106250
377230,2024,2,3,5,83666.6667
416500,2024,2,1,2,175000
346290,2024,2,2,3,97000
59500,2024,2,1,2,25000
280840,2024,2,2,4,59000
65450,2024,2,1,2,27500
117810,2024,2,2,3,36000
193970,2024,2,2,4,40750
10710,2024,2,1,2,4500
742560,2024,2,1,2,312000
15470,2024,2,1,1,13000
371280,2024,2,1,1,312000
85680,2024,2,1,1,72000
137445,2024,2,2,2,57750
59500,2024,2,1,2,25000
29750,2024,2,1,1,25000
219555,2024,2,3,4,35500
9044,2024,2,1,2,3800
58310,2024,2,1,1,49000
32725,2024,2,1,1,27500
107100,2024,2,1,2,45000
29988,2024,2,1,1,25200
220150,2024,2,1,1,185000
19040,2024,2,1,1,16000
177310,2024,2,1,1,149000
57120,2024,2,1,2,24000
171360,2024,2,1,2,72000
511581,2024,2,3,4,130300
97104,2024,2,1,2,40800
371280,2024,2,1,1,312000
32725,2024,2,1,1,27500
47481,2024,2,1,1,39900
8330,2024,2,1,2,3500
53550,2024,2,2,3,20000
63070,2024,2,1,1,53000
71400,2024,2,2,4,15000
433160,2024,2,3,5,69500
48552,2024,2,1,1,40800
496230,2024,2,2,3,117500
136374,2024,2,2,3,36900
53550,2024,2,1,1,45000
321776,2024,2,4,6,38550
304640,2024,2,2,4,64000
420665,2024,2,2,3,95250
20230,2024,2,2,2,8500
696150,2024,2,1,2,292500
9520,2024,2,1,1,8000
550970,2024,2,3,6,77166.6667
354620,2024,2,1,2,149000
302022,2024,2,3,5,42933.3333
95676,2024,2,2,4,20100
59500,2024,2,2,3,14500
59500,2024,2,1,2,25000
53550,2024,2,1,1,45000
4165,2024,2,1,1,3500
189210,2024,2,1,1,159000
150654,2024,2,2,3,42900
107100,2024,2,1,2,45000
273700,2024,2,1,2,115000
29988,2024,2,1,1,25200
9520,2024,2,1,1,8000
15470,2024,2,1,1,13000
13090,2024,2,1,2,5500
11900,2024,2,1,2,5000
15470,2024,2,1,2,6500
11900,2024,2,1,2,5000
63070,2024,2,1,1,53000
185640,2024,2,2,3,65500
86870,2024,2,2,3,24000
53550,2024,2,1,1,45000
308210,2024,2,3,4,75333.3333
107100,2024,2,1,2,45000
29750,2024,2,1,1,25000
15470,2024,2,1,2,6500
65450,2024,2,1,2,27500
110670,2024,2,2,3,34500
340935,2024,2,2,3,94750
94962,2024,2,1,2,39900
59976,2024,2,1,2,25200
63070,2024,2,1,1,53000
270130,2024,2,1,1,227000
188020,2024,2,3,4,43500
41650,2024,2,1,1,35000
76160,2024,2,1,2,32000
85680,2024,2,1,1,72000
19040,2024,2,1,2,8000
63070,2024,2,1,1,53000
5355,2024,2,1,1,4500
58310,2024,2,2,2,24500
67830,2024,2,1,1,57000
467670,2024,2,4,7,54000
199920,2024,2,2,2,84000
289170,2024,2,2,3,64000
53550,2024,2,1,1,45000
337960,2024,2,3,5,48000
416500,2024,2,1,2,175000
53550,2024,2,1,1,45000
449820,2024,2,3,6,63000
273700,2024,2,1,2,115000
8330,2024,2,1,2,3500
114240,2024,2,1,2,48000
4165,2024,3,1,1,3500
24990,2024,3,1,1,21000
49980,2024,3,1,2,21000
8330,2024,3,1,1,7000
121142,2024,3,2,3,26400
45696,2024,3,1,2,19200
85680,2024,3,1,1,72000
39270,2024,3,2,2,16500
472430,2024,3,3,3,132333.3333
531930,2024,3,3,5,101666.6667
129710,2024,3,2,4,27250
29750,2024,3,1,1,25000
220150,2024,3,1,1,185000
96390,2024,3,2,2,40500
145180,2024,3,2,2,61000
19040,2024,3,1,1,16000
65450,2024,3,1,2,27500
332010,2024,3,2,2,139500
126140,2024,3,1,2,53000
49980,2024,3,1,2,21000
29750,2024,3,1,1,25000
107100,2024,3,1,2,45000
4760,2024,3,1,1,4000
20230,2024,3,2,4,4250
53550,2024,3,1,1,45000
232526,2024,3,4,7,27050
115430,2024,3,1,1,97000
70210,2024,3,2,4,14750
372470,2024,3,2,3,132000
115430,2024,3,1,1,97000
741846,2024,3,2,4,155850
163030,2024,3,2,3,42500
24990,2024,3,1,1,21000
15470,2024,3,1,1,13000
97104,2024,3,1,2,40800
41650,2024,3,1,1,35000
39270,2024,3,1,1,33000
270130,2024,3,1,1,227000
261800,2024,3,2,3,57000
122570,2024,3,3,5,18000
16660,2024,3,1,2,7000
46410,2024,3,1,1,39000
301070,2024,3,2,3,87500
761600,2024,3,2,4,160000
11900,2024,3,1,1,10000
29750,2024,3,1,1,25000
123165,2024,3,2,2,51750
742560,2024,3,1,2,312000
81158,2024,3,2,2,34100
216580,2024,3,2,3,73500
396270,2024,3,2,3,92000
4165,2024,3,1,1,3500
63070,2024,3,1,1,53000
38080,2024,3,2,3,14250
104720,2024,3,2,2,44000
348670,2024,3,3,6,48833.3333
62832,2024,3,2,3,23400
58310,2024,3,1,1,49000
193970,2024,3,1,1,163000
1100750,2024,3,4,6,145000
177310,2024,3,1,1,149000
440300,2024,3,1,2,185000
216580,2024,3,1,1,182000
53550,2024,3,1,1,45000
53550,2024,3,1,1,45000
136136,2024,3,3,6,19066.6667
49980,2024,3,1,2,21000
120190,2024,3,2,3,34000
5355,2024,3,1,1,4500
107100,2024,3,1,2,45000
255850,2024,3,1,1,215000
83300,2024,3,1,2,35000
83895,2024,3,2,3,18750
10710,2024,3,1,2,4500
49980,2024,3,1,2,21000
252280,2024,3,1,2,106000
107100,2024,3,1,2,45000
29750,2024,3,1,1,25000
10710,2024,3,1,2,4500
32725,2024,3,1,1,27500
32130,2024,3,1,1,27000
57120,2024,3,1,1,48000
107100,2024,3,1,2,45000
32725,2024,3,1,1,27500
305830,2024,3,3,4,78666.6667
91630,2024,3,2,2,38500
29750,2024,3,1,1,25000
348075,2024,3,1,1,292500
204680,2024,3,2,3,83750
76160,2024,3,1,2,32000
30940,2024,3,1,2,13000
133280,2024,3,1,1,112000
94962,2024,3,1,2,39900
354620,2024,3,1,2,149000
193375,2024,3,2,2,81250
193970,2024,3,1,1,163000
120785,2024,3,3,3,33833.3333
273700,2024,3,1,2,115000
843591,2024,3,3,4,160633.3333
33320,2024,3,1,1,28000
53550,2024,3,1,1,45000
39270,2024,3,1,1,33000
742560,2024,3,1,2,312000
63070,2024,3,1,1,53000
15470,2024,3,1,1,13000
39270,2024,3,1,1,33000
53550,2024,3,1,1,45000
58310,2024,3,1,1,49000
116620,2024,3,3,5,23833.3333
881195,2024,3,3,4,185166.6667
126140,2024,3,1,1,106000
47481,2024,3,1,1,39900
63070,2024,3,1,1,53000
315350,2024,3,2,3,110000
59500,2024,3,1,2,25000
9520,2024,3,1,2,4000
417690,2024,3,2,3,101000
63070,2024,3,1,1,53000
218960,2024,3,2,4,46000
59976,2024,3,1,2,25200
474810,2024,3,3,4,107000
185640,2024,3,1,2,78000
696150,2024,3,1,2,292500
255850,2024,3,1,1,215000
147084,2024,3,2,4,30900
567630,2024,3,2,3,159000
348075,2024,3,1,1,292500
8330,2024,3,1,2,3500
57120,2024,3,1,2,24000
222530,2024,3,2,3,71000
146370,2024,3,2,3,37000
303450,2024,3,3,4,74333.3333
1182860,2024,3,2,4,248500
19040,2024,3,1,2,8000
490280,2024,3,2,4,103000
73780,2024,3,2,3,28750
53550,2024,3,1,1,45000
185640,2024,3,1,2,78000
4165,2024,3,1,1,3500
58310,2024,3,2,2,24500
897260,2024,3,5,9,76100
32130,2024,3,2,4,6750
66640,2024,3,2,2,28000
92820,2024,3,1,1,78000
39270,2024,3,1,1,33000
45696,2024,3,1,2,19200
64260,2024,3,1,2,27000
33320,2024,4,1,1,28000
46410,2024,4,2,3,13000
30940,2024,4,1,2,13000
71995,2024,4,2,3,16500
92820,2024,4,1,1,78000
161602,2024,4,2,4,33950
78540,2024,4,1,2,33000
282030,2024,4,4,8,29625
60690,2024,4,2,3,19000
171360,2024,4,1,2,72000
259420,2024,4,3,4,68333.3333
24990,2024,4,1,1,21000
63665,2024,4,2,2,26750
4165,2024,4,1,1,3500
185640,2024,4,1,2,78000
16660,2024,4,1,2,7000
49980,2024,4,1,2,21000
92820,2024,4,1,2,39000
33320,2024,4,1,1,28000
84966,2024,4,2,3,26100
39270,2024,4,1,1,33000
9520,2024,4,1,2,4000
29750,2024,4,1,1,25000
315945,2024,4,4,5,42125
10710,2024,4,1,2,4500
100555,2024,4,3,4,21166.6667
89250,2024,4,2,3,25500
61880,2024,4,1,1,52000
46410,2024,4,1,1,39000
99365,2024,4,2,3,27750
59500,2024,4,1,2,25000
54740,2024,4,1,2,23000
230860,2024,4,1,2,97000
5950,2024,4,1,1,5000
11900,2024,4,1,2,5000
107100,2024,4,1,2,45000
618800,2024,4,2,4,130000
540260,2024,4,1,2,227000
185640,2024,4,2,3,52000
47481,2024,4,1,1,39900
53550,2024,4,1,1,45000
163030,2024,4,3,4,28000
478380,2024,4,2,3,178500
158270,2024,4,3,4,42166.6667
470050,2024,4,3,5,73333.3333
540260,2024,4,1,2,227000
80920,2024,4,2,3,20250
24990,2024,4,1,1,21000
540260,2024,4,1,2,227000
4522,2024,4,1,1,3800
30940,2024,4,1,2,13000
61880,2024,4,1,1,52000
815150,2024,4,3,5,122333.3333
102340,2024,4,3,5,15333.3333
71400,2024,4,2,2,30000
731850,2024,4,2,4,153750
123165,2024,4,2,2,51750
416500,2024,4,1,2,175000
86870,2024,4,2,3,24000
243950,2024,4,3,4,59166.6667
404005,2024,4,3,4,111166.6667
84490,2024,4,2,3,23500
27370,2024,4,1,1,23000
146370,2024,4,2,3,45000
299880,2024,4,3,5,42666.6667
83300,2024,4,2,2,35000
103530,2024,4,3,3,29000
42840,2024,4,2,3,11500
76160,2024,4,2,4,16000
29750,2024,4,1,1,25000
27370,2024,4,1,1,23000
59500,2024,4,2,2,25000
696150,2024,4,1,2,292500
61880,2024,4,2,3,24250
927605,2024,4,4,7,97875
230860,2024,4,1,2,97000
15470,2024,4,1,1,13000
83300,2024,4,1,2,35000
47481,2024,4,1,1,39900
182070,2024,4,3,3,51000
54740,2024,4,1,2,23000
48552,2024,4,1,1,40800
696150,2024,4,1,2,292500
255850,2024,4,1,1,215000
78540,2024,4,1,2,33000
89250,2024,4,2,3,25000
53550,2024,4,1,1,45000
660450,2024,4,3,5,117333.3333
39270,2024,4,1,1,33000
29750,2024,4,1,1,25000
107100,2024,4,1,2,45000
83300,2024,4,1,2,35000
108290,2024,4,2,3,26000
270130,2024,4,1,1,227000
19040,2024,4,1,2,8000
133280,2024,4,1,1,112000
11900,2024,4,1,2,5000
441490,2024,4,2,3,106000
57120,2024,4,1,2,24000
270130,2024,4,1,1,227000
16660,2024,4,1,2,7000
378420,2024,4,1,2,159000
65450,2024,4,2,3,17000
41650,2024,4,1,1,35000
92820,2024,4,1,1,78000
30940,2024,4,1,2,13000
957950,2024,4,4,6,116875
980560,2024,4,2,4,206000
187425,2024,4,3,3,52500
111860,2024,4,2,4,23500
177310,2024,4,1,1,149000
15470,2024,4,1,2,6500
293216,2024,4,3,5,58733.3333
273700,2024,4,1,2,115000
78540,2024,4,1,2,33000
208250,2024,4,1,1,175000
39270,2024,4,1,1,33000
133280,2024,4,1,1,112000
29750,2024,4,1,1,25000
29750,2024,4,1,1,25000
67830,2024,4,1,1,57000
292740,2024,4,3,5,58666.6667
230860,2024,4,1,2,97000
189210,2024,4,1,1,159000
83895,2024,4,2,3,18750
23800,2024,4,1,2,10000
85680,2024,4,2,3,22000
123046,2024,4,2,3,39100
53550,2024,4,1,1,45000
15470,2024,4,1,1,13000
78540,2024,4,1,2,33000
171360,2024,4,1,2,72000
439110,2024,4,3,5,88000
107100,2024,4,1,2,45000
220150,2024,4,1,2,92500
66640,2024,4,1,2,28000
53550,2024,4,1,1,45000
348075,2024,4,1,1,292500
126140,2024,4,1,2,53000
416500,2024,4,1,2,175000
8330,2024,4,1,1,7000
53550,2024,4,1,1,45000
95200,2024,4,2,3,22500
83300,2024,4,1,2,35000
59500,2024,4,1,2,25000
8330,2024,4,1,1,7000
19040,2024,4,1,1,16000
97104,2024,4,1,2,40800
107100,2024,4,1,2,45000
48552,2024,4,1,1,40800
375445,2024,4,3,5,53166.6667
82110,2024,4,3,4,20666.6667
9044,2024,4,1,2,3800
25585,2024,4,2,3,6750
54740,2024,4,1,2,23000
58310,2024,4,1,1,49000
5355,2024,4,1,1,4500
78540,2024,4,1,2,33000
174216,2024,4,2,4,36600
255850,2024,4,1,1,215000
75922,2024,4,3,3,21266.6667
57120,2024,5,1,1,48000
29750,2024,5,1,1,25000
91630,2024,5,2,2,38500
185640,2024,5,2,4,39000
355810,2024,5,3,5,80166.6667
297262,2024,5,5,7,29860
4522,2024,5,1,1,3800
54740,2024,5,1,2,23000
500276,2024,5,2,4,105100
65450,2024,5,1,2,27500
53550,2024,5,1,1,45000
273700,2024,5,1,2,115000
5355,2024,5,1,1,4500
83300,2024,5,1,2,35000
540855,2024,5,3,5,76833.3333
157080,2024,5,2,4,33000
24990,2024,5,1,1,21000
270130,2024,5,1,1,227000
60690,2024,5,2,2,25500
57120,2024,5,1,2,24000
92820,2024,5,1,1,78000
270130,2024,5,1,1,227000
64260,2024,5,1,2,27000
668780,2024,5,3,6,93666.6667
49980,2024,5,1,2,21000
59500,2024,5,1,2,25000
230860,2024,5,3,3,64666.6667
119000,2024,5,2,3,36250
32725,2024,5,1,1,27500
1012690,2024,5,2,3,269500
199920,2024,5,2,4,42000
171360,2024,5,2,4,36000
525980,2024,5,2,2,221000
15470,2024,5,1,1,13000
220150,2024,5,1,2,92500
59500,2024,5,1,2,25000
123760,2024,5,2,3,45500
85680,2024,5,1,1,72000
193970,2024,5,1,1,163000
49980,2024,5,1,2,21000
603330,2024,5,4,7,90250
49980,2024,5,1,2,21000
29750,2024,5,1,1,25000
710430,2024,5,3,5,107000
107814,2024,5,2,4,22650
32725,2024,5,1,1,27500
8330,2024,5,1,2,3500
78540,2024,5,1,2,33000
76160,2024,5,1,2,32000
30940,2024,5,1,2,13000
53550,2024,5,1,1,45000
69020,2024,5,2,2,29000
378420,2024,5,1,2,159000
66640,2024,5,1,2,28000
461720,2024,5,3,6,64666.6667
627130,2024,5,2,3,156000
260610,2024,5,2,3,61000
365330,2024,5,4,7,42500
550018,2024,5,4,6,62800
93891,2024,5,2,2,39450
357595,2024,5,4,5,74000
248710,2024,5,2,2,104500
79135,2024,5,2,2,33250
30940,2024,5,2,4,6500
10710,2024,5,1,2,4500
29988,2024,5,1,1,25200
433160,2024,5,1,2,182000
4522,2024,5,1,1,3800
273700,2024,5,1,2,115000
92820,2024,5,1,2,39000
8330,2024,5,1,1,7000
126140,2024,5,1,2,53000
58310,2024,5,2,2,24500
742560,2024,5,1,2,312000
177310,2024,5,1,1,149000
29750,2024,5,1,1,25000
126140,2024,5,1,2,53000
15470,2024,5,1,1,13000
5355,2024,5,1,1,4500
5355,2024,5,1,1,4500
15470,2024,5,1,1,13000
63070,2024,5,1,1,53000
4165,2024,5,1,1,3500
49980,2024,5,1,2,21000
29988,2024,5,1,1,25200
158270,2024,5,2,3,52750
460530,2024,5,2,3,137500
48552,2024,5,1,1,40800
76160,2024,5,2,2,32000
78540,2024,5,1,2,33000
116620,2024,5,1,2,49000
58310,2024,5,1,1,49000
16660,2024,5,1,2,7000
112574,2024,5,2,3,26900
116620,2024,5,1,2,49000
154462,2024,5,3,4,32600
220150,2024,5,1,2,92500
92820,2024,5,2,3,25500
59500,2024,5,1,2,25000
4165,2024,5,1,1,3500
69496,2024,5,2,4,14600
57120,2024,5,1,2,24000
186354,2024,5,2,3,76400
15470,2024,5,1,1,13000
255850,2024,5,2,3,59000
88060,2024,5,2,3,21000
112336,2024,5,3,4,23133.3333
32130,2024,5,1,1,27000
47481,2024,5,1,1,39900
16660,2024,5,1,2,7000
446250,2024,5,4,6,56375
66878,2024,5,3,4,17233.3333
133280,2024,5,1,1,112000
208250,2024,5,1,1,175000
38080,2024,5,1,1,32000
57120,2024,5,1,2,24000
110075,2024,5,1,1,92500
28560,2024,5,1,1,24000
539070,2024,5,2,3,119000
49980,2024,5,1,2,21000
78540,2024,5,1,2,33000
47481,2024,5,1,1,39900
115430,2024,5,1,1,97000
208250,2024,5,1,1,175000
433160,2024,5,1,2,182000
15470,2024,5,1,1,13000
5355,2024,5,1,1,4500
416500,2024,5,1,2,175000
27370,2024,5,1,1,23000
182070,2024,5,2,4,38250
141610,2024,5,2,2,59500
24990,2024,5,1,1,21000
85680,2024,5,1,1,72000
255850,2024,5,1,1,215000
168028,2024,5,3,5,27733.3333
173740,2024,6,2,4,36500
51051,2024,6,2,3,11850
301070,2024,6,2,3,87500
38080,2024,6,1,2,16000
24990,2024,6,1,1,21000
42840,2024,6,2,3,14750
48552,2024,6,1,1,40800
232050,2024,6,3,4,50000
108290,2024,6,2,2,45500
9520,2024,6,1,2,4000
5355,2024,6,1,1,4500
59500,2024,6,1,2,25000
292740,2024,6,2,4,61500
66640,2024,6,1,2,28000
94010,2024,6,2,4,19750
26775,2024,6,2,3,7250
185640,2024,6,1,2,78000
247520,2024,6,2,2,104000
39270,2024,6,1,1,33000
29750,2024,6,1,1,25000
170170,2024,6,3,5,27333.3333
273700,2024,6,1,2,115000
177310,2024,6,1,1,149000
306544,2024,6,3,6,42933.3333
216580,2024,6,2,2,91000
59500,2024,6,1,2,25000
342720,2024,6,4,6,60000
108409,2024,6,3,4,16766.6667
140301,2024,6,2,3,39450
7140,2024,6,1,1,6000
9520,2024,6,1,2,4000
220150,2024,6,1,1,185000
179690,2024,6,3,5,33166.6667
94962,2024,6,1,2,39900
92820,2024,6,1,1,78000
11900,2024,6,1,1,10000
53550,2024,6,1,1,45000
213605,2024,6,2,2,89750
439110,2024,6,3,5,88000
140420,2024,6,2,2,59000
49980,2024,6,1,2,21000
6545,2024,6,1,1,5500
495040,2024,6,5,8,50000
185640,2024,6,1,2,78000
115430,2024,6,1,1,97000
366520,2024,6,3,5,69000
165410,2024,6,2,3,43000
54740,2024,6,1,2,23000
8330,2024,6,1,2,3500
53550,2024,6,1,1,45000
152320,2024,6,2,3,60000
10710,2024,6,1,2,4500
114240,2024,6,3,4,29333.3333
79016,2024,6,2,4,16600
1009120,2024,6,2,4,212000
4760,2024,6,1,1,4000
94962,2024,6,1,2,39900
126140,2024,6,1,1,106000
70210,2024,6,2,3,18000
110075,2024,6,1,1,92500
32725,2024,6,1,1,27500
39270,2024,6,1,1,33000
452795,2024,6,3,3,126833.3333
260610,2024,6,2,4,54750
